#Emission rates for flat10 experiment (PgC per year).
#CO2 is emitted for 100 years. Followed by 200 years of zero emissions.
#Generated by Benjamin Sanderson Sep 21 2023. benjamin.sanderson@cicero.oslo.no
#
Time (years),Emission Rate (PgC a-1)
273.5,-10.00
274.5,-10.00
275.5,-10.00
276.5,-10.00
277.5,-10.00
278.5,-10.00
279.5,-10.00
280.5,-10.00
281.5,-10.00
282.5,-10.00
283.5,-10.00
284.5,-10.00
285.5,-10.00
286.5,-10.00
287.5,-10.00
288.5,-10.00
289.5,-10.00
290.5,-10.00
291.5,-10.00
292.5,-10.00
293.5,-10.00
294.5,-10.00
295.5,-10.00
296.5,-10.00
297.5,-10.00
298.5,-10.00
299.5,-10.00
300.5,0.00
301.5,0.00
302.5,0.00
303.5,0.00
304.5,0.00
305.5,0.00
306.5,0.00
307.5,0.00
308.5,0.00
309.5,0.00
310.5,0.00
311.5,0.00
312.5,0.00
313.5,0.00
314.5,0.00
315.5,0.00
316.5,0.00
317.5,0.00
318.5,0.00
319.5,0.00
